Supplementary table 7. The lists for statistical values in the study.,,,,,,
  Fig. 1c,ANOVA summary,,,,,
,  F,57.49,,,,
,  P value,<0.0001,,,,
,  P value summary,****,,,,
,  Significant diff. among means (P < 0.05)?,Yes,,,,
,  R squared,0.5299,,,,
,,,,,,
  Fig. 1d ,Time in interaction zone (s) with no target,,,,,
,ANOVA summary,,,,,
,F,1.041,,,,
,P value,0.3567,,,,
,P value summary,ns,,,,
,Significant diff. among means (P < 0.05)?,No,,,,
,R squared,0.02001,,,,
, ,,,,,
,Time in interaction zone (s) with target,,,,,
,ANOVA summary,,,,,
,F,60.23,,,,
,P value,<0.0001,,,,
,P value summary,****,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.5415,,,,
,,,,,,
  Fig. 1f,ANOVA summary,,,,,
,F,0.1109,,,,
,P value,0.8951,,,,
,P value summary,ns,,,,
,Significant diff. among means (P < 0.05)?,No,,,,
,R squared,0.002149,,,,
,,,,,,
  Fig. 1g,Sucrose preference (%) in pre-stress,,,,,
,ANOVA summary,,,,,
,F,0.7645,,,,
,P value,0.4682,,,,
,P value summary,ns,,,,
,Significant diff. among means (P < 0.05)?,No,,,,
,R squared,0.01477,,,,
, ,,,,,
,Sucrose preference (%) in test,,,,,
,ANOVA summary,,,,,
,F,39.92,,,,
,P value,<0.0001,,,,
,P value summary,****,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.4391,,,,
,,,,,,
  Fig. 1i,Mitochondrial membrane potential (fold change) in mPFC,,,,,
,ANOVA summary,,,,,
,F,8.228,,,,
,P value,0.0039,,,,
,P value summary,**,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.5232,,,,
, ,,,,,
,Mitochondrial membrane potential (fold change) in Hippocampus,,,,,
,ANOVA summary,,,,,
,F,0.585,,,,
,P value,0.5693,,,,
,P value summary,ns,,,,
,Significant diff. among means (P < 0.05)?,No,,,,
,R squared,0.07236,,,,
,,,,,,
  Fig. 1j,"Mitochondrial ATP (nmol/μg protein, %) in mPFC",,,,,
,ANOVA summary,,,,,
,F,15.53,,,,
,P value,0.0002,,,,
,P value summary,***,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.6743,,,,
,,,,,,
,"Mitochondrial ATP (nmol/μg protein, %) in Hippocampus",,,,,
,ANOVA summary,,,,,
,F,2.416,,,,
,P value,0.1232,,,,
,P value summary,ns,,,,
,Significant diff. among means (P < 0.05)?,No,,,,
,R squared,0.2436,,,,
,,,,,,
  Fig. 1l,ANOVA summary,,,,,
,F,9.336,,,,
,P value,<0.0001,,,,
,P value summary,****,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.4143,,,,
,,,,,,
  Fig. 1m ,Time in interaction zone (s) with no target,,,,,
,ANOVA summary,,,,,
